REGIÃO;ESTADO;DESTINATÁRIO;ORIGEM;MEDICAMENTO;APRESENTAÇÃO;QUANTIDADE;PEDIDO SISMAT;Pauta;STATUS;DATA DE ENTREGA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;5.820;322226;8;Entrega realizada;20/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;17.450;322226;8;Entrega realizada;20/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 10 mL;2.540;322226;8;Entrega realizada;20/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 2 mL;975;322226;8;Entrega realizada;20/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;GOIÁS;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;500;322226;8;Entrega realizada;20/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RONDÔNIA;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 2 mL;800;322239;8;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RONDÔNIA;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;400;322239;8;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RONDÔNIA;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;760;322239;8;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;MARANHÃO;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;670;322227;8;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RONDÔNIA;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;1.375;322239;8;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;MARANHÃO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 2 mL;650;322227;8;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RONDÔNIA;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 2 mL;900;322239;8;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;MARANHÃO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;340;322227;8;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RONDÔNIA;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;440;322239;8;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;MARANHÃO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;1.000;322227;8;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RONDÔNIA;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;1.300;322239;8;Entrega realizada;21/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;ALAGOAS;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;8.800;322221;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;SERGIPE;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;6.540;322242;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;ALAGOAS;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;2.200;322221;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;SERGIPE;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;1.630;322242;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;ALAGOAS;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 10 mL;4.400;322221;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;SERGIPE;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 10 mL;3.270;322242;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;ALAGOAS;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;1.290;322221;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;ALAGOAS;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;1.435;322221;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;SERGIPE;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;2.120;322242;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;ALAGOAS;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;2.225;322221;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;ESPÍRITO SANTO;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;2.650;322225;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;SERGIPE;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 2 mL;2.100;322242;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;SERGIPE;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;1.060;322242;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;SERGIPE;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;3.200;322242;8;Entrega realizada;22/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;RIO DE JANEIRO;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;22.450;322237;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;RIO DE JANEIRO;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;5.620;322237;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;RIO DE JANEIRO;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 5 mL;23.430;322237;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;BAHIA;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;2.965;322223;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;130;322234;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;RIO DE JANEIRO;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 10 mL;11.230;322237;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;BAHIA;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 2 mL;1.775;322223;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;BAHIA;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;875;322223;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;RIO DE JANEIRO;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;4.850;322237;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;RIO DE JANEIRO;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;1.600;322237;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUL;SANTA CATARINA;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;325;322241;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;BAHIA;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;3.100;322223;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;925;322234;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;PARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;1.975;322235;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;RIO DE JANEIRO;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;39.075;322237;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;PARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 2 mL;21.800;322235;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;RIO DE JANEIRO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 2 mL;31.250;322237;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;PARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;10.890;322235;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;RIO DE JANEIRO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;15.630;322237;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;PARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;32.700;322235;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUDESTE;RIO DE JANEIRO;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;46.900;322237;8;Entrega realizada;23/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;CEARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;4.440;322249;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;30.550;322236;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;10.290;322238;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;CEARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;1.110;322249;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;7.640;322236;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;2.570;322238;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;CEARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 10 mL;2.220;322249;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 10 mL;15.270;322236;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 10 mL;5.150;322238;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;CEARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 2 mL;33.125;322249;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 2 mL;2.225;322238;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;CEARÁ;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;16.550;322249;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;1.125;322238;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;24.310;322236;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;7.060;322238;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;1.205;322238;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;DISTRITO FEDERAL;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;175;322224;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;2.525;322236;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;7.675;322238;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 2 mL;9.550;322236;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 2 mL;11.350;322238;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;4.780;322236;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;5.670;322238;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PIAUÍ;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;14.350;322236;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;17.000;322238;8;Entrega realizada;24/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;TOCANTINS;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 5 mL;1.570;322243;8;Entrega realizada;25/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RORAIMA;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;360;322240;8;Entrega realizada;25/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;RORAIMA;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;500;322240;8;Entrega realizada;25/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;TOCANTINS;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 2 mL;2.550;322243;8;Entrega realizada;25/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;TOCANTINS;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;1.260;322243;8;Entrega realizada;25/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;TOCANTINS;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;3.750;322243;8;Entrega realizada;25/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 3 mL;11.850;322222;8;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM, CLORIDRATO, 1 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 5 mL;2.960;322222;8;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;MIDAZOLAM 5 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 10 mL;5.920;322222;8;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 2 mL;11.100;322222;8;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;DEXTROCETAMINA, CLORIDRATO 50 MG/ML ;AMPOLA 10 mL;5.550;322222;8;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;PROPOFOL 10 MG/ML, EMULSÃO INJETÁVEL;AMPOLA 20 mL;1.730;322222;8;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;CISATRACÚRIO, BESILATO 2 MG/ML ;AMPOLA 10 mL;3.115;322222;8;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;ROCURÔNIO, BROMETO 10 MG/ML;AMPOLA 5 mL;6.050;322222;8;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 2 mL;8.200;322222;8;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;4.110;322222;8;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;AMAPA;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;12.350;322222;8;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;PARAÍBA;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;4.325;323185;9;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;DEXMEDETOMIDINA, CLORIDRATO 100 MCG/ML ;AMPOLA 2 mL;785;323188;9;Entrega realizada;30/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;BAHIA;SES;REQUISIÇÃO ADMINISTRATIVA;PANCURÔNIO, BROMETO, 2 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 2 mL;15.800;323173;9;Entrega realizada;28/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENTRO-OESTE;MATO GROSSO;SES;REQUISIÇÃO ADMINISTRATIVA;PANCURÔNIO, BROMETO, 2 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 2 mL;1.600;323175;9;Entrega realizada;29/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;TOCANTINS;SES;REQUISIÇÃO ADMINISTRATIVA;PANCURÔNIO, BROMETO, 2 MG/ML, SOLUÇÃO INJETÁVEL;AMPOLA 2 mL;17.650;323191;9;Entrega realizada;27/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;11.850;323188;9;Entrega realizada;30/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;TOCANTINS;SES;REQUISIÇÃO ADMINISTRATIVA;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 10 mL;1.775;323191;9;Entrega realizada;27/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORDESTE;RIO GRANDE DO NORTE;SES;ACORDO TRIPARTITE;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;2.375;323188;9;Entrega realizada;30/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NORTE;TOCANTINS;SES;ACORDO TRIPARTITE;FENTANILA, CITRATO 0,05 MG/ML;AMPOLA 5 mL;350;323191;9;Entrega realizada;27/07/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
